,6417
Returns,0.33617028689149664
Volatility,0.1847693626572899
CVX weight,0.26094871378934703
CAT weight,0.08622690061911764
MRK weight,0.6183417189042535
TRV weight,0.020639256489715485
AMGN weight,0.013843410197566595
