AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,TRV,UNH,V,VZ,WBA,WMT
68028800,2318000,3543500,5775800,2279600,5642300,15499300,8261100,9563100,6265600,1445600,2769200,2909900,3291900,34069500,5500600,9299700,11855900,2007000,26220100,7480100,22084700,5171500,1572700,2495500,4885600,20259500,10234200,5380200
104956000,6294600,4146300,5363100,1937200,6353400,17923000,8920800,7923400,5042800,1563200,3632900,2766700,3741100,38305500,6365300,8614600,13026900,2204300,18971900,6351500,18747700,4836900,1444500,2792000,3812300,18553200,9084400,4761500
122656600,4447200,3519800,8724900,2207500,5463200,23028600,10308300,10504600,9104300,2242100,4797200,4858500,4565600,71417900,6726400,12904600,18532800,2604900,7765500,7650000,33353300,5955600,1247200,3172500,5217900,21284500,9039400,5895800
87965400,2715600,2840200,8478000,2295000,6037300,27551500,11160800,8610400,11484300,1953300,4194400,4949900,3819100,40767200,9555700,9345700,12881600,2745200,5670500,9418700,23913000,4888700,1508900,2648100,4632800,23152200,6422700,6644900
90481100,2206100,2371600,9792800,1933100,7012200,18148600,9665000,9739800,6535500,1489400,3896100,3452100,5141700,39919100,7174500,10821400,11451900,2289500,4052800,8006800,31530900,6598900,1275800,3058100,6099300,22763400,10889800,6729800
162278800,4604100,6527200,10310700,5088300,9882300,32696100,43741600,15978800,10059000,2946800,9535100,6417900,9839700,72748000,20201500,14844100,20493500,4304100,7261800,14842500,39791800,8000800,2493400,3981700,9398200,45069300,10565800,13958100
81474200,1981400,2472500,5150700,2923700,4874800,13667500,6813800,7979500,4900300,1652700,3047200,2416200,3981600,33151900,7380900,8201300,12596200,2195800,3190300,7748600,26826900,5162300,1040100,2130800,8133600,18960900,5372700,5617700
107689800,1745900,1725900,6737600,2512400,5505700,16813900,8955200,6957400,4996000,1569900,2940700,2478800,2837500,31129000,7143400,9619000,11984600,2140200,4155200,5454800,26660300,10006600,1367200,2421700,5292500,15561200,5080000,4654500
101696800,2186300,2599900,6244300,4061900,6164400,21415900,6877000,9776400,5819100,1796700,3173500,2505400,3389500,39977300,8071200,12606300,14165300,2438800,3735800,7190800,28625600,6279300,1047100,2427700,6705900,25612100,5001200,8301200
86652500,2081200,3249400,6311800,2508400,12405100,16691000,6981100,10953400,4652900,2239900,3515800,2229900,4046600,36092700,7401100,11684500,11657600,2300500,3678000,12329700,31061200,9638800,1132500,2285600,6604700,19806400,4933900,5581500
96029900,2148600,3035600,8927900,4047200,9175800,19067700,13919700,11976900,6729600,2918500,3527900,3202300,5195600,43491100,9598600,18138600,14824000,2672100,3683700,9038500,34176000,9026500,952800,2536900,10755800,19439700,6093600,9065100
93339400,2454000,3808700,7095100,3213400,7862400,22694800,9444000,9760500,5497600,2308800,4181800,3271600,3987800,44786400,8735500,15753600,18670100,3179100,3597900,8841000,27694200,8521600,1435200,2867400,9914600,21345700,5483400,7670400
84442700,2009800,2828700,6682300,2753500,7046600,15027900,10121000,13360200,5444700,2007400,3701000,2692400,4117200,44121400,8686700,12793600,23829300,4193800,3324300,6532100,27018700,9890300,1407900,2583400,9799600,20357700,6142300,5723900
146691400,2782400,5269500,10257200,3694800,7908400,23217700,8279800,12895500,8315400,2289700,5816600,3077800,4996400,40433400,8660900,12762600,21480100,4202400,3677800,6840000,29029700,9423300,1672800,3027300,9751000,20567400,6680100,5612800
128138200,2335700,2280700,8905400,3518100,8602500,19496400,8197600,9435100,4904800,1930800,4518600,3117000,3817700,41831300,7008100,12713900,14570700,3053200,2315800,6601300,27484200,19339200,1456400,2392000,9105200,17806900,8232100,5080500
124925300,2543400,3717200,8383000,2963000,7575600,27989900,9402700,12094900,5869800,1970800,4789100,3810300,5346100,43821000,8985200,15973400,16124600,3629300,3112800,9035600,35694800,48176100,1400200,3116000,9472300,23523600,8035300,6534100
