Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,162.699997,166.289993,161.589996,166.020004,159.266953,5090400
2022-02-01,165.589996,167.960007,164.759995,167.429993,160.619583,2987900
2022-02-02,167.800003,169.250000,165.800003,166.660004,159.880936,3191300
2022-02-03,166.259995,166.729996,164.100006,164.389999,157.703247,2608700
2022-02-04,163.789993,164.740005,160.100006,160.729996,154.192108,4046500
2022-02-07,160.750000,162.309998,160.009995,161.169998,154.614227,2441100
2022-02-08,161.429993,163.110001,160.320007,162.410004,155.803787,2373900
2022-02-09,163.550003,164.259995,161.929993,163.639999,156.983749,2143600
2022-02-10,162.009995,162.789993,159.020004,159.740005,153.242401,3633200
2022-02-11,160.160004,161.600006,158.800003,159.539993,153.050522,3632700
2022-02-14,159.350006,159.589996,155.360001,158.009995,151.582764,4634400
2022-02-15,158.720001,159.080002,156.250000,157.339996,150.940002,3335800
2022-02-16,157.000000,158.000000,154.110001,155.630005,149.299561,4470000
2022-02-17,150.850006,151.470001,148.479996,148.639999,143.972290,6207700
2022-02-18,148.199997,149.710007,147.240005,147.619995,142.984314,5018800
2022-02-22,148.199997,148.509995,145.880005,146.750000,142.141632,4509100
2022-02-23,146.750000,147.330002,144.130005,144.380005,139.846069,3846600
2022-02-24,142.100006,143.889999,139.740005,143.699997,139.187424,6107100
2022-02-25,144.410004,151.759995,144.350006,150.509995,145.783554,6732700
2022-02-28,149.289993,149.630005,146.750000,148.649994,143.981979,4215300
2022-03-01,148.580002,149.020004,144.149994,144.750000,140.204437,3313900
2022-03-02,145.610001,148.369995,144.919998,147.220001,142.596878,3734600
2022-03-03,148.520004,149.990005,147.520004,148.300003,143.642960,3804200
2022-03-04,146.160004,147.690002,145.740005,146.729996,142.122253,3235200
2022-03-07,145.740005,145.740005,142.570007,143.279999,138.780609,4554000
2022-03-08,145.240005,149.470001,143.259995,145.399994,140.834030,4605300
2022-03-09,147.860001,149.259995,146.490005,146.600006,141.996353,3337300
2022-03-10,145.339996,145.960007,143.330002,143.929993,139.410187,3794000
2022-03-11,143.470001,144.479996,140.830002,140.960007,136.533463,4149400
2022-03-14,141.449997,145.289993,141.449997,143.479996,138.974335,3910100
2022-03-15,144.869995,145.479996,142.589996,144.309998,139.778275,3337300
2022-03-16,144.759995,146.270004,142.839996,145.509995,140.940567,3813800
2022-03-17,145.309998,147.710007,144.149994,147.690002,143.052109,2786700
2022-03-18,147.070007,148.449997,145.220001,148.320007,143.662338,7882100
2022-03-21,148.690002,149.740005,147.399994,148.580002,143.914169,4514900
2022-03-22,149.449997,150.839996,148.500000,149.940002,145.231461,4252000
