Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,130.190002,131.860001,129.330002,131.330002,126.763741,16401800
2022-02-01,130.830002,135.740005,130.509995,134.789993,130.103439,16169700
2022-02-02,134.350006,135.800003,132.800003,135.410004,130.701904,10906700
2022-02-03,134.850006,135.350006,133.190002,134.199997,129.533966,9447700
2022-02-04,135.009995,137.000000,135.009995,135.880005,131.155533,13034700
2022-02-07,135.339996,139.429993,134.830002,138.550003,133.732712,18422500
2022-02-08,138.179993,138.429993,135.009995,136.440002,131.696075,11021600
2022-02-09,136.720001,138.339996,136.100006,137.789993,132.999115,10140800
2022-02-10,137.559998,138.789993,135.389999,136.039993,131.309967,11012700
2022-02-11,136.860001,139.440002,136.279999,138.809998,133.983658,12821200
2022-02-14,137.940002,138.050003,135.050003,136.669998,131.918060,15945000
2022-02-15,133.080002,134.839996,132.179993,134.259995,130.952454,11746800
2022-02-16,134.949997,136.160004,133.759995,134.300003,130.991486,11348800
2022-02-17,134.169998,134.580002,132.449997,133.610001,130.318466,10073900
2022-02-18,132.820007,133.910004,132.050003,133.419998,130.133148,10691800
2022-02-22,137.000000,137.000000,130.520004,132.399994,129.138275,19428700
2022-02-23,132.929993,136.080002,132.559998,135.550003,132.210678,16134200
2022-02-24,137.929993,138.229996,131.720001,134.850006,131.527924,22108900
2022-02-25,135.960007,140.500000,135.429993,140.380005,136.921707,28028000
2022-02-28,139.270004,144.000000,138.649994,144.000000,140.452515,24394300
2022-03-01,145.009995,149.960007,144.699997,149.720001,146.031586,31159900
2022-03-02,150.199997,155.750000,150.050003,154.139999,150.342712,31329500
2022-03-03,152.259995,157.119995,151.750000,156.220001,152.371475,22492900
2022-03-04,155.789993,159.949997,155.089996,158.649994,154.741608,29034400
2022-03-07,159.899994,162.100006,155.720001,162.039993,158.048096,34824700
2022-03-08,164.309998,174.000000,164.100006,170.529999,166.328949,57231000
2022-03-09,162.770004,169.770004,161.210007,166.270004,162.173889,43430000
2022-03-10,168.740005,174.759995,168.289993,170.820007,166.611801,34913600
2022-03-11,165.889999,172.979996,165.880005,170.899994,166.689819,28423600
2022-03-14,166.210007,168.350006,164.300003,166.720001,162.612793,25156200
2022-03-15,159.110001,160.190002,155.259995,158.279999,154.380722,28534400
2022-03-16,158.789993,160.500000,156.210007,157.710007,153.824768,22299700
2022-03-17,159.949997,160.990005,157.919998,160.440002,156.487503,15750700
2022-03-18,160.889999,161.729996,158.779999,161.729996,157.745728,23214700
2022-03-21,163.020004,165.580002,162.720001,164.639999,160.584045,13180600
2022-03-22,163.690002,165.259995,162.580002,164.089996,160.047577,11063900
2022-03-23,166.000000,167.350006,164.940002,165.860001,161.773987,10755000
2022-03-24,166.429993,167.399994,165.000000,166.300003,162.203140,9024800
2022-03-25,165.220001,169.690002,165.160004,169.309998,165.138992,10254700
2022-03-28,165.899994,166.630005,165.130005,166.350006,162.251923,9992000
2022-03-29,163.509995,164.479996,160.500000,164.320007,160.271927,15102600
2022-03-30,165.240005,166.350006,163.660004,165.479996,161.403351,9906000
2022-03-31,163.470001,166.160004,162.720001,162.830002,158.818634,10395900
2022-04-01,162.779999,165.949997,162.330002,164.220001,160.174393,8795300
2022-04-04,165.000000,165.449997,163.000000,164.369995,160.320679,8718600
2022-04-05,165.029999,167.720001,163.100006,163.360001,159.335571,9538200
2022-04-06,164.830002,167.009995,164.330002,164.809998,160.749847,9269000
2022-04-07,165.100006,167.699997,163.419998,167.100006,162.983444,8018400
2022-04-08,167.050003,171.100006,167.020004,169.929993,165.743698,10801200
2022-04-11,168.570007,168.779999,164.910004,165.559998,161.481369,10206100
2022-04-12,168.970001,172.679993,168.149994,169.009995,164.846375,9528400
2022-04-13,170.929993,172.080002,168.289993,171.669998,167.440842,7330700
2022-04-14,170.690002,172.940002,170.559998,171.589996,167.362808,9421100
2022-04-18,173.000000,174.539993,171.869995,173.889999,169.606155,7639000
2022-04-19,173.080002,173.690002,171.029999,171.830002,167.596924,6970200
2022-04-20,171.619995,173.580002,171.460007,172.529999,168.279678,7495000
2022-04-21,171.740005,172.440002,163.830002,164.580002,160.525528,14594800
2022-04-22,164.380005,165.470001,160.860001,160.949997,156.984924,12160100
2022-04-25,155.729996,158.360001,151.360001,157.490005,153.610184,15449800
2022-04-26,158.820007,160.369995,156.389999,156.529999,152.673843,9810600
2022-04-27,157.080002,157.919998,154.520004,156.240005,152.390976,10396600
2022-04-28,157.449997,163.000000,154.929993,161.789993,157.804245,9366400
2022-04-29,161.279999,162.440002,156.289993,156.669998,152.810379,14713200
2022-05-02,156.309998,160.000000,155.149994,159.750000,155.814499,11559000
2022-05-03,159.570007,163.429993,159.259995,162.490005,158.487000,8827200
2022-05-04,164.970001,167.889999,163.470001,167.589996,163.461365,9183200
2022-05-05,169.259995,169.500000,162.649994,166.259995,162.164124,9807600
2022-05-06,168.270004,170.970001,165.419998,170.690002,166.485001,10418100
2022-05-09,167.750000,167.750000,158.479996,159.250000,155.326813,14110700
2022-05-10,162.210007,164.190002,157.869995,160.779999,156.819138,11636000
2022-05-11,163.580002,167.460007,162.509995,163.160004,159.140503,9105500
2022-05-12,163.220001,164.850006,158.860001,164.710007,160.652313,8936400
2022-05-13,166.500000,168.789993,164.880005,167.869995,163.734467,9229900
2022-05-16,169.000000,174.970001,168.860001,173.009995,168.747833,13296300
2022-05-17,174.839996,175.649994,172.610001,174.029999,169.742722,12827600
2022-05-18,174.119995,174.130005,165.789993,168.059998,165.268295,13107500
2022-05-19,164.630005,169.639999,162.830002,166.860001,164.088226,10958700
2022-05-20,168.880005,171.039993,164.089996,167.820007,165.032288,9615000
2022-05-23,169.429993,172.960007,169.110001,171.720001,168.867508,10216400
2022-05-24,170.690002,173.580002,169.809998,172.639999,169.772217,9782700
2022-05-25,173.139999,175.990005,172.970001,175.410004,172.496201,10174500
2022-05-26,176.490005,177.929993,175.009995,176.589996,173.656601,11213900
2022-05-27,176.520004,178.350006,175.690002,178.279999,175.318527,10512300
2022-05-31,179.960007,180.960007,173.470001,174.660004,171.758667,20547600
2022-06-01,176.729996,178.130005,174.940002,176.320007,173.391083,8824100
2022-06-02,174.740005,176.509995,174.100006,176.000000,173.076401,7441900
2022-06-03,176.000000,178.250000,176.000000,177.600006,174.649826,8435300
2022-06-06,177.899994,178.000000,175.509995,176.830002,173.892609,6734200
2022-06-07,177.470001,180.660004,176.919998,180.199997,177.206635,9668300
2022-06-08,180.949997,182.399994,180.250000,181.130005,178.121185,8715200
2022-06-09,180.029999,180.639999,177.389999,177.520004,174.571152,9764600
2022-06-10,176.369995,178.570007,173.649994,175.399994,172.486359,9529700
2022-06-13,171.610001,172.000000,164.059998,167.330002,164.550415,14614900
2022-06-14,169.369995,172.289993,165.839996,167.550003,164.766769,10269300
2022-06-15,166.779999,167.850006,161.940002,164.259995,161.531418,11565300
2022-06-16,159.940002,160.539993,153.750000,155.479996,152.897263,18125900
2022-06-17,154.880005,155.470001,145.789993,148.380005,145.915207,35575100
2022-06-21,152.050003,156.020004,151.440002,154.589996,152.022034,13772000
2022-06-22,148.070007,150.800003,146.330002,147.869995,145.413681,13735800
2022-06-23,148.789993,149.229996,140.149994,142.429993,140.064041,15713700
2022-06-24,145.199997,147.089996,142.600006,144.770004,142.365173,11108300
2022-06-27,145.860001,148.820007,145.600006,147.570007,145.118668,9242400
2022-06-28,150.880005,152.190002,148.110001,149.940002,147.449295,9183300
2022-06-29,151.630005,152.110001,146.089996,146.979996,144.538452,9082900
2022-06-30,144.550003,147.919998,143.410004,144.779999,142.375000,10685000
2022-07-01,146.600006,146.960007,142.470001,146.509995,144.076279,7684600
2022-07-05,143.649994,144.539993,139.410004,142.660004,140.290222,11513100
2022-07-06,141.660004,143.259995,136.800003,140.779999,138.441452,12421200
2022-07-07,144.100006,145.300003,143.080002,143.520004,141.135941,12741800
2022-07-08,144.880005,145.449997,141.089996,142.770004,140.398407,7915500
2022-07-11,141.910004,142.850006,139.929993,141.509995,139.159317,7056800
2022-07-12,138.500000,139.619995,137.259995,138.919998,136.612335,8653900
2022-07-13,137.610001,140.729996,137.139999,137.990005,135.697800,9414600
2022-07-14,134.309998,136.160004,132.539993,135.940002,133.681854,10150200
2022-07-15,138.960007,138.960007,136.429993,137.649994,135.363449,7051900
2022-07-18,140.559998,142.139999,139.080002,139.580002,137.261383,7943900
2022-07-19,139.690002,145.009995,139.419998,144.610001,142.207840,9152100
2022-07-20,144.500000,147.259995,143.320007,146.520004,144.086121,7856600
2022-07-21,143.119995,145.470001,141.500000,145.399994,142.984711,6724200
2022-07-22,145.559998,146.300003,143.419998,144.190002,141.794815,5889500
2022-07-25,145.699997,148.610001,144.179993,148.479996,146.013535,6210900
2022-07-26,149.500000,150.679993,146.529999,147.320007,144.872833,6112800
2022-07-27,148.339996,150.199997,146.660004,149.259995,146.780594,6223000
2022-07-28,150.690002,151.470001,148.029999,150.389999,147.891815,6574300
2022-07-29,156.539993,164.660004,155.899994,163.779999,161.059387,17143700
2022-08-01,161.179993,161.860001,159.149994,160.509995,157.843704,8017800
2022-08-02,160.889999,161.470001,158.300003,159.139999,156.496460,5928300
2022-08-03,159.309998,159.960007,154.350006,155.360001,152.779266,8751400
2022-08-04,155.320007,155.440002,150.729996,151.139999,148.629349,10640000
2022-08-05,149.639999,155.009995,149.020004,153.639999,151.087830,7170200
2022-08-08,153.589996,154.979996,153.149994,153.410004,150.861664,5966900
2022-08-09,155.940002,157.800003,154.600006,155.410004,152.828430,5842200
2022-08-10,156.000000,156.470001,152.929993,155.820007,153.231628,6145800
2022-08-11,158.110001,161.160004,157.619995,159.619995,156.968491,7888600
2022-08-12,158.250000,159.910004,157.139999,159.850006,157.194672,7244700
2022-08-15,155.179993,157.789993,153.440002,156.809998,154.205170,8975200
2022-08-16,157.410004,157.919998,155.820007,156.410004,153.811813,7218400
2022-08-17,156.630005,159.339996,155.509995,157.699997,155.080383,6741100
2022-08-18,157.149994,159.660004,157.089996,159.020004,157.799362,6477500
2022-08-19,158.460007,159.740005,157.619995,157.690002,156.479568,6834200
2022-08-22,156.690002,157.740005,154.419998,156.899994,155.695618,9147000
2022-08-23,159.100006,162.339996,158.710007,161.990005,160.746567,10354800
2022-08-24,161.660004,163.350006,160.669998,163.190002,161.937347,9468100
2022-08-25,163.919998,164.899994,162.610001,164.619995,163.356354,8050700
2022-08-26,164.179993,166.130005,162.460007,163.410004,162.155655,7765800
2022-08-29,163.889999,166.830002,163.639999,164.630005,163.366287,8462600
2022-08-30,162.320007,162.559998,158.759995,160.619995,159.387070,8814300
2022-08-31,157.610001,161.410004,156.149994,158.059998,156.846725,13582700
2022-09-01,156.479996,156.880005,153.229996,155.539993,154.346054,8244400
2022-09-02,158.240005,159.130005,156.720001,157.850006,156.638336,7526600
2022-09-06,159.889999,159.990005,155.710007,157.119995,155.913925,8550000
2022-09-07,154.059998,155.820007,152.619995,155.110001,153.919373,9442100
2022-09-08,155.589996,156.380005,153.380005,155.949997,154.752914,9232500
2022-09-09,158.410004,160.649994,157.529999,159.970001,158.742065,8261100
2022-09-12,162.809998,164.529999,161.250000,162.500000,161.252640,8920800
2022-09-13,161.410004,162.660004,158.740005,159.410004,158.186356,10308300
2022-09-14,160.940002,163.570007,160.350006,163.270004,162.016739,11160800
2022-09-15,160.679993,161.699997,159.580002,160.619995,159.387070,9665000
2022-09-16,160.520004,161.139999,155.610001,156.449997,155.249069,43741600
2022-09-19,152.929993,156.949997,152.800003,156.899994,155.695618,6813800
2022-09-20,156.039993,156.850006,154.339996,156.279999,155.080383,8955200
2022-09-21,158.309998,158.779999,154.949997,155.009995,153.820129,6877000
2022-09-22,157.600006,158.279999,154.740005,154.889999,153.701050,6981100
2022-09-23,149.750000,150.179993,143.660004,144.770004,143.658737,13919700
2022-09-26,143.570007,145.050003,140.889999,140.960007,139.877991,9444000
2022-09-27,142.289993,143.770004,140.460007,141.020004,139.937531,10121000
2022-09-28,142.080002,146.440002,141.399994,145.779999,144.660980,8279800
2022-09-29,144.509995,145.410004,142.270004,144.770004,143.658737,8197600
2022-09-30,144.029999,145.139999,142.490005,143.669998,142.567184,9402700
2022-10-03,148.970001,152.339996,148.300003,151.729996,150.565308,9597400
2022-10-04,154.429993,157.880005,153.630005,157.630005,156.420029,9520200
2022-10-05,155.839996,159.729996,154.800003,158.529999,157.313110,10633100
2022-10-06,157.339996,161.940002,157.199997,161.419998,160.180923,9498300
2022-10-07,162.509995,163.929993,159.059998,160.029999,158.801605,9972500
2022-10-10,161.000000,161.470001,156.440002,157.139999,155.933777,5904500
2022-10-11,154.750000,159.929993,154.110001,157.169998,155.963547,7533300
2022-10-12,156.139999,158.809998,155.520004,157.639999,156.429947,4942000
2022-10-13,156.350006,165.990005,156.350006,165.279999,164.011292,10227500
2022-10-14,164.039993,165.460007,159.929993,160.139999,158.910751,7327900
2022-10-17,163.289993,164.910004,161.100006,161.309998,160.071777,5890400
2022-10-18,162.360001,163.309998,158.960007,162.720001,161.470947,5631200
2022-10-19,163.589996,169.210007,163.589996,168.000000,166.710419,9766800
2022-10-20,169.300003,171.820007,167.940002,168.960007,167.663055,8871500
2022-10-21,169.149994,173.839996,168.850006,173.190002,171.860580,7971300
2022-10-24,172.080002,174.669998,171.610001,173.130005,171.801041,7007700
2022-10-25,173.059998,175.000000,172.169998,174.929993,173.587219,7280600
2022-10-26,175.320007,178.479996,175.169998,177.089996,175.730637,6865300
2022-10-27,179.889999,181.399994,177.479996,177.899994,176.534424,9177400
2022-10-28,181.470001,182.860001,176.529999,179.979996,178.598465,10773900
2022-10-31,178.059998,183.839996,178.059998,180.899994,179.511398,13281000
2022-11-01,183.869995,184.500000,181.899994,182.220001,180.821274,9185600
2022-11-02,180.929993,182.899994,178.270004,178.500000,177.129822,8087500
2022-11-03,177.970001,182.190002,177.410004,181.130005,179.739639,6607800
2022-11-04,184.839996,185.399994,180.600006,183.419998,182.012054,7491900
2022-11-07,182.500000,186.380005,182.110001,185.610001,184.185242,7578000
2022-11-08,185.320007,186.250000,183.860001,185.339996,183.917313,6308200
2022-11-09,183.610001,183.809998,177.220001,177.929993,176.564194,8021700
2022-11-10,182.229996,182.330002,178.039993,181.300003,179.908325,6981500
2022-11-11,184.050003,187.100006,183.889999,186.460007,185.028732,8428300
2022-11-14,186.309998,189.679993,186.179993,186.550003,185.118027,9722400
2022-11-15,187.119995,188.440002,185.270004,188.050003,186.606522,7747300
2022-11-16,186.539993,187.820007,183.679993,184.990005,183.570007,7941100
2022-11-17,181.509995,184.229996,180.270004,184.089996,184.089996,6550500
2022-11-18,180.960007,183.410004,179.649994,182.990005,182.990005,7661500
2022-11-21,179.729996,181.699997,175.820007,181.240005,181.240005,8432900
2022-11-22,183.750000,186.559998,183.080002,185.889999,185.889999,9018000
2022-11-23,183.210007,185.149994,182.580002,184.240005,184.240005,5831200
2022-11-25,184.889999,185.300003,183.309998,183.699997,183.699997,2796400
2022-11-28,180.279999,181.470001,177.960007,178.360001,178.360001,9365500
2022-11-29,180.259995,181.850006,179.649994,181.029999,181.029999,6985400
2022-11-30,182.850006,183.339996,179.619995,183.309998,183.309998,10936700
2022-12-01,184.259995,184.550003,181.440002,182.490005,182.490005,5217400
2022-12-02,181.529999,183.630005,179.929993,181.029999,181.029999,6852300
2022-12-05,182.669998,182.949997,174.630005,176.559998,176.559998,8162200
2022-12-06,175.509995,178.059998,171.119995,172.009995,172.009995,8765000
2022-12-07,171.059998,174.580002,170.850006,172.520004,172.520004,6936300
