Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,225.550003,226.380005,222.050003,226.169998,224.472000,12380600
2022-02-01,226.899994,234.610001,226.419998,232.360001,230.615524,12247200
2022-02-02,231.300003,235.850006,230.009995,235.419998,233.652557,10590500
2022-02-03,233.039993,233.490005,230.550003,231.539993,229.801666,9968000
2022-02-04,228.500000,230.220001,224.949997,228.389999,226.675323,10848100
2022-02-07,228.000000,229.919998,226.009995,227.160004,225.454575,5984500
2022-02-08,226.259995,228.500000,224.750000,227.940002,226.228699,7542000
2022-02-09,230.130005,233.149994,230.119995,230.869995,229.136688,7772800
2022-02-10,228.029999,229.949997,224.869995,225.589996,224.260620,6794600
2022-02-11,227.250000,229.100006,223.539993,224.690002,223.365921,7535200
2022-02-14,223.289993,227.259995,222.809998,225.339996,224.012085,8280800
2022-02-15,227.270004,229.289993,224.910004,227.820007,226.477478,9461700
2022-02-16,227.500000,229.880005,225.600006,228.820007,227.471573,9561300
2022-02-17,228.399994,228.809998,224.169998,224.610001,223.286377,8131200
2022-02-18,224.600006,225.740005,221.839996,222.690002,221.377716,8121200
2022-02-22,221.020004,224.339996,219.919998,221.320007,220.015762,9928800
2022-02-23,222.839996,224.279999,215.419998,215.949997,214.677414,8669900
2022-02-24,203.369995,217.860001,201.449997,217.300003,216.019470,13463400
2022-02-25,217.289993,220.679993,214.250000,219.270004,217.977859,8463600
2022-02-28,216.000000,218.649994,213.240005,216.119995,214.846420,8409400
2022-03-01,214.479996,215.149994,207.279999,208.970001,207.738556,9317800
2022-03-02,206.899994,210.539993,206.190002,208.479996,207.251434,8865700
2022-03-03,210.550003,211.500000,206.559998,207.229996,206.008804,8610000
2022-03-04,205.000000,206.369995,196.860001,200.289993,199.109695,10912300
2022-03-07,199.839996,200.179993,190.050003,190.699997,189.576202,13412400
2022-03-08,190.009995,196.419998,186.669998,191.710007,190.580261,11070900
2022-03-09,196.500000,200.500000,195.240005,199.759995,198.582825,8457600
2022-03-10,196.899994,199.940002,196.300003,197.970001,196.803375,7061600
2022-03-11,200.750000,200.839996,196.460007,196.710007,195.550812,5432100
2022-03-14,198.419998,204.429993,198.160004,200.330002,199.149475,7994700
2022-03-15,202.089996,206.410004,201.399994,206.139999,204.925232,8277700
2022-03-16,210.000000,213.669998,207.000000,211.869995,210.621460,9232300
2022-03-17,209.929993,213.539993,208.720001,213.449997,212.192139,6668500
2022-03-18,211.699997,219.259995,210.289993,219.110001,217.818787,14620800
2022-03-21,216.339996,218.059998,214.550003,217.039993,215.760986,6101500
2022-03-22,217.839996,219.570007,217.179993,218.470001,217.182571,6259900
2022-03-23,215.300003,217.289993,214.199997,214.679993,213.414902,6008000
2022-03-24,214.990005,217.660004,214.000000,217.309998,216.029404,5487000
2022-03-25,218.419998,218.929993,215.690002,218.429993,217.142792,5051400
2022-03-28,218.500000,220.979996,217.509995,220.770004,219.469025,4316800
2022-03-29,224.839996,228.809998,223.779999,228.119995,226.775681,8032500
2022-03-30,225.839996,226.160004,222.729996,223.949997,222.630264,7084000
2022-03-31,223.910004,225.919998,220.440002,221.770004,220.463120,10759500
2022-04-01,223.080002,226.630005,222.229996,226.360001,225.026077,6559600
2022-04-04,225.759995,229.240005,224.960007,227.740005,226.397964,8521200
2022-04-05,226.830002,228.990005,225.309998,226.089996,224.757675,4658000
2022-04-06,222.779999,222.869995,218.619995,219.009995,217.719391,7430000
2022-04-07,218.309998,218.679993,213.679993,216.149994,214.876221,6995100
2022-04-08,214.809998,219.410004,213.080002,216.979996,215.701340,5438600
2022-04-11,215.250000,217.300003,213.410004,214.750000,213.484497,6942700
2022-04-12,216.500000,216.990005,210.699997,211.399994,210.154236,7446600
2022-04-13,210.429993,213.850006,207.169998,213.270004,212.013214,8052900
2022-04-14,214.270004,215.949997,212.529999,212.789993,211.536041,8191600
2022-04-18,211.669998,215.830002,211.520004,213.169998,211.913803,4744400
2022-04-19,213.100006,216.509995,212.440002,215.699997,214.428894,5028800
2022-04-20,218.660004,220.820007,217.389999,217.789993,216.506561,7178300
2022-04-21,219.509995,223.919998,215.350006,216.449997,215.174484,8850300
2022-04-22,216.240005,216.559998,207.949997,208.169998,206.943253,6201100
2022-04-25,206.350006,210.529999,205.330002,209.949997,208.712769,6839400
2022-04-26,206.979996,208.559998,201.100006,201.100006,199.914932,8155300
2022-04-27,217.369995,221.800003,213.050003,214.110001,212.848267,15955800
2022-04-28,220.399994,224.929993,219.270004,220.660004,219.359680,10799100
2022-04-29,218.619995,221.199997,212.350006,213.130005,211.874039,7965000
2022-05-02,211.770004,212.139999,206.960007,211.529999,210.283463,8803700
2022-05-03,213.610001,213.610001,206.270004,208.559998,207.330978,6616900
2022-05-04,209.350006,214.800003,205.330002,214.520004,213.255844,7191100
2022-05-05,212.270004,214.580002,203.070007,205.240005,204.030548,7749600
2022-05-06,203.750000,205.720001,200.220001,202.820007,201.624802,8825300
2022-05-09,200.050003,200.750000,192.080002,193.000000,191.862656,10314100
2022-05-10,196.710007,197.750000,190.970001,193.580002,192.439255,11016500
2022-05-11,193.490005,198.320007,191.399994,196.720001,195.560745,9427300
2022-05-12,194.529999,196.059998,189.949997,193.970001,193.195221,9308600
2022-05-13,197.000000,200.539993,196.500000,199.229996,198.434219,6684500
2022-05-16,197.320007,199.940002,195.880005,197.809998,197.019897,5161300
2022-05-17,202.850006,204.800003,200.149994,204.000000,203.185165,7265600
2022-05-18,202.820007,205.460007,199.130005,199.990005,199.191193,8748200
2022-05-19,196.350006,200.419998,193.309998,197.369995,196.581650,9012400
2022-05-20,199.669998,201.660004,194.020004,199.029999,198.235016,6966600
2022-05-23,200.880005,207.960007,200.770004,207.559998,206.730942,12187400
2022-05-24,203.910004,204.669998,199.029999,202.630005,201.820648,7458500
2022-05-25,200.589996,204.949997,200.470001,203.839996,203.025803,5457200
2022-05-26,205.110001,209.740005,204.669998,208.550003,207.716995,9212300
2022-05-27,210.000000,213.229996,209.639999,212.880005,212.029694,4897200
2022-05-31,210.380005,214.350006,209.110001,212.169998,211.322540,9586400
2022-06-01,212.050003,214.110001,208.820007,209.929993,209.091476,5246100
2022-06-02,211.889999,215.250000,211.080002,215.050003,214.191040,5337200
2022-06-03,212.949997,214.210007,211.270004,212.649994,211.800613,4352500
2022-06-06,215.449997,217.580002,212.089996,212.940002,212.089462,3965100
2022-06-07,211.119995,214.970001,210.720001,214.500000,213.643234,4493300
2022-06-08,213.759995,215.570007,212.830002,213.500000,212.647232,3646300
2022-06-09,212.589996,213.710007,206.020004,206.110001,205.286743,5138600
2022-06-10,201.649994,203.419998,199.179993,199.509995,198.713104,5162500
2022-06-13,192.990005,195.889999,191.080002,192.259995,191.492065,7119200
2022-06-14,192.720001,194.339996,191.750000,193.520004,192.747040,6441200
2022-06-15,195.979996,198.830002,192.229996,196.160004,195.376495,6490000
2022-06-16,191.410004,191.869995,187.529999,189.050003,188.294891,9887200
2022-06-17,186.929993,191.309998,185.910004,190.009995,189.251038,15089300
2022-06-21,195.710007,196.729996,193.729996,194.389999,193.613556,6241600
2022-06-22,191.250000,196.389999,191.029999,193.820007,193.045837,5138500
2022-06-23,196.139999,197.460007,193.449997,196.639999,195.854568,4752800
2022-06-24,197.729996,205.639999,197.509995,205.509995,204.689133,7754800
2022-06-27,205.750000,207.089996,202.610001,203.559998,202.746918,6121200
2022-06-28,204.000000,206.789993,197.500000,198.119995,197.328659,4354200
2022-06-29,197.320007,200.639999,197.320007,199.500000,198.703140,4324600
2022-06-30,195.369995,198.850006,192.850006,196.889999,196.103561,7045200
2022-07-01,196.789993,199.800003,194.710007,199.179993,198.384415,4131800
2022-07-05,196.229996,200.570007,194.139999,200.539993,199.738983,4110200
2022-07-06,200.000000,202.509995,198.669998,201.119995,200.316666,4111200
2022-07-07,202.539993,203.429993,200.039993,202.800003,201.989960,4650700
2022-07-08,202.320007,204.100006,200.460007,203.570007,202.756897,3621800
2022-07-11,202.000000,206.740005,202.000000,205.059998,204.240921,5353600
2022-07-12,203.250000,208.119995,202.759995,204.820007,204.001892,6779500
2022-07-13,200.429993,205.570007,199.500000,204.149994,203.334564,7597300
2022-07-14,200.000000,206.080002,197.979996,205.910004,205.087540,5605500
2022-07-15,209.369995,211.710007,207.179993,210.039993,209.201035,7245700
2022-07-18,211.500000,212.910004,206.639999,207.210007,206.382355,4648900
2022-07-19,208.220001,214.110001,207.899994,213.660004,212.806580,4927100
2022-07-20,212.000000,214.130005,211.210007,213.369995,212.517746,4460300
2022-07-21,213.149994,216.899994,212.729996,216.190002,215.326477,4801300
2022-07-22,217.929993,218.070007,212.119995,213.699997,212.846420,5071500
2022-07-25,214.580002,214.800003,211.619995,214.270004,213.414139,4357200
2022-07-26,213.850006,215.149994,211.750000,212.490005,211.641266,6141000
2022-07-27,210.770004,216.850006,201.199997,210.470001,209.629333,17432200
2022-07-28,210.639999,212.720001,207.919998,211.350006,210.505814,7477100
2022-07-29,212.000000,214.160004,209.830002,212.110001,211.262787,6059700
2022-08-01,208.449997,213.990005,207.559998,211.360001,210.515762,8028400
2022-08-02,207.800003,208.839996,203.929993,206.259995,205.436127,9939400
2022-08-03,207.990005,210.330002,206.880005,208.479996,207.647263,9520100
2022-08-04,210.529999,214.880005,208.550003,213.470001,212.617340,6789700
2022-08-05,210.710007,215.949997,210.500000,215.869995,215.007751,5553700
2022-08-08,215.229996,216.630005,212.050003,213.320007,212.467941,4063400
2022-08-09,212.000000,213.449997,209.750000,210.259995,209.420166,4596800
2022-08-10,214.830002,214.839996,211.309998,212.100006,211.252823,5746400
2022-08-11,213.289993,213.500000,210.589996,211.080002,210.609253,6639600
2022-08-12,213.000000,213.220001,210.100006,211.330002,210.858704,6443700
2022-08-15,210.369995,216.740005,210.369995,216.419998,215.937347,5290600
2022-08-16,214.550003,217.610001,212.130005,217.139999,216.655746,6564400
2022-08-17,215.000000,216.179993,212.750000,214.520004,214.041595,4902500
2022-08-18,213.869995,216.000000,212.429993,215.250000,214.769958,4516400
2022-08-19,214.110001,215.229996,212.389999,212.820007,212.345383,4178800
2022-08-22,209.940002,211.250000,208.199997,208.610001,208.144760,5139500
2022-08-23,208.000000,209.300003,206.529999,206.800003,206.338806,3525500
2022-08-24,206.630005,208.350006,205.679993,206.669998,206.209091,4230800
2022-08-25,207.389999,209.910004,206.500000,209.820007,209.352066,4495000
