Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,465.000000,473.179993,464.399994,472.570007,466.594452,3500500
2022-02-01,475.000000,475.000000,462.750000,468.410004,462.487061,3148600
2022-02-02,469.059998,481.980011,469.059998,479.779999,473.713287,3026800
2022-02-03,498.649994,500.179993,483.570007,488.769989,482.589600,4370900
2022-02-04,481.750000,489.630005,480.190002,483.170013,477.060425,3066400
2022-02-07,484.910004,487.260010,481.299988,483.700012,477.583710,2937200
2022-02-08,481.350006,495.670013,481.350006,493.410004,487.170929,3534700
2022-02-09,497.000000,500.929993,496.290009,498.100006,491.801636,2818100
2022-02-10,492.239990,494.220001,485.070007,486.720001,480.565521,2626100
2022-02-11,484.679993,490.429993,476.440002,478.130005,472.084137,2493800
2022-02-14,475.109985,477.739990,469.329987,474.399994,468.401306,2549500
2022-02-15,475.940002,481.170013,475.200012,478.230011,472.182892,3001000
2022-02-16,475.500000,481.730011,471.399994,480.049988,473.979828,2651800
2022-02-17,478.170013,479.290009,468.890015,470.339996,464.392639,2403100
2022-02-18,470.250000,474.920013,466.829987,467.809998,461.894653,2992300
2022-02-22,463.829987,467.190002,457.820007,462.510010,456.661682,3029800
2022-02-23,467.190002,467.720001,458.839996,459.619995,453.808197,2840300
2022-02-24,449.519989,456.589996,445.739990,455.890015,450.125366,3933000
2022-02-25,456.649994,475.779999,456.230011,475.750000,469.734222,3314400
2022-02-28,465.850006,477.309998,465.609985,475.869995,469.852692,3918300
2022-03-01,470.890015,476.959991,467.730011,476.250000,470.227905,2917600
2022-03-02,478.190002,487.170013,477.890015,485.380005,479.242462,3675900
2022-03-03,486.000000,491.380005,482.220001,486.589996,480.437195,3139400
2022-03-04,480.690002,499.660004,477.489990,498.649994,492.344666,4170100
2022-03-07,500.000000,500.000000,483.019989,486.869995,480.713623,4123300
2022-03-08,478.799988,484.489990,471.519989,473.459991,467.473175,3849500
2022-03-09,482.579987,487.720001,473.589996,485.570007,479.430084,3115500
2022-03-10,479.329987,493.709991,477.829987,491.440002,485.225830,2834800
2022-03-11,487.829987,493.799988,482.510010,482.869995,478.175049,2615000
2022-03-14,490.399994,495.589996,485.279999,487.920013,483.175995,2704100
2022-03-15,490.000000,499.940002,487.309998,497.910004,493.068848,3043000
2022-03-16,499.829987,505.500000,490.010010,498.260010,493.415436,3497100
2022-03-17,496.000000,507.119995,495.179993,507.019989,502.090210,2357200
2022-03-18,508.739990,510.679993,501.559998,506.119995,501.199005,5065600
2022-03-21,505.010010,513.000000,504.359985,507.660004,502.724030,2617700
2022-03-22,509.269989,511.850006,504.839996,505.320007,500.406799,2752500
2022-03-23,502.269989,507.059998,501.329987,503.230011,498.337097,2753200
2022-03-24,505.000000,515.780029,503.859985,513.460022,508.467682,2789200
2022-03-25,514.190002,516.530029,509.239990,513.030029,508.041840,2551100
2022-03-28,514.320007,517.140015,508.809998,513.200012,508.210175,2643000
2022-03-29,517.099976,519.590027,507.299988,510.730011,505.764191,3478400
2022-03-30,515.109985,521.200012,512.479980,520.820007,515.756104,3041200
2022-03-31,517.099976,521.890015,509.670013,509.970001,505.011566,3979700
2022-04-01,510.679993,514.780029,506.600006,512.590027,507.606140,2344100
2022-04-04,512.210022,512.479980,504.529999,510.019989,505.061066,2657500
2022-04-05,510.000000,524.729980,508.000000,517.760010,512.725769,3268600
2022-04-06,518.219971,533.520020,518.000000,531.750000,526.579773,3955600
