Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,59.500000,60.049999,58.279999,59.730000,56.841930,8056100
2022-02-01,59.799999,61.990002,59.700001,61.810001,58.821365,6659400
2022-02-02,61.709999,62.490002,61.119999,61.660000,58.678612,5463400
2022-02-03,61.500000,62.445000,61.154999,61.209999,58.250370,5363800
2022-02-04,61.200001,61.720001,60.540001,60.599998,57.669865,4995100
2022-02-07,60.930000,61.099998,59.730000,59.910000,57.013229,6214400
2022-02-08,60.380001,61.169998,60.380001,61.090000,58.136173,5595500
2022-02-09,61.490002,62.230000,61.250000,61.990002,58.992661,5515900
2022-02-10,61.889999,62.459999,60.709999,60.950001,58.002945,6537200
2022-02-11,60.799999,61.910000,60.349998,61.090000,58.136173,6042100
2022-02-14,61.099998,61.369999,60.125000,60.830002,57.888748,4472000
2022-02-15,60.820000,62.009998,60.709999,61.860001,58.868942,4076800
2022-02-16,61.650002,62.910000,61.619999,62.080002,59.078308,5613600
2022-02-17,61.360001,62.105000,60.625000,61.169998,58.212307,3927800
2022-02-18,60.750000,61.320000,60.189999,60.590000,57.660355,5078900
2022-02-22,60.919998,61.040001,59.939999,60.299999,57.384369,5664000
2022-02-23,60.869999,61.189999,59.875000,59.970001,57.070332,5155100
2022-02-24,58.889999,58.970001,57.520000,58.720001,55.880772,8108500
2022-02-25,58.419998,60.145000,58.320000,59.650002,57.450672,5445200
2022-02-28,58.320000,59.180000,58.009998,58.959999,56.786110,6438200
2022-03-01,59.119999,59.305000,56.270000,57.130001,55.023586,7668100
2022-03-02,57.549999,59.790001,57.509998,59.200001,57.017265,6499800
2022-03-03,59.290001,59.939999,58.740002,59.669998,57.469929,4514800
2022-03-04,58.400002,58.875000,57.830002,58.830002,56.660904,5869500
2022-03-07,58.750000,59.110001,57.645000,57.980000,55.842243,6987800
2022-03-08,58.110001,59.220001,57.619999,57.840000,55.707405,6583400
2022-03-09,59.250000,60.900002,58.939999,59.799999,57.595139,7484700
