Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,222.949997,232.910004,222.259995,232.630005,232.630005,7084200
2022-02-01,232.369995,232.779999,226.320007,232.119995,232.119995,6387100
2022-02-02,233.740005,234.490005,223.020004,225.009995,225.009995,9378900
2022-02-03,218.070007,220.789993,210.399994,212.770004,212.770004,12826600
2022-02-04,214.990005,221.669998,213.190002,219.229996,219.229996,6176500
2022-02-07,219.000000,221.440002,216.660004,216.970001,216.970001,3922300
2022-02-08,215.600006,217.940002,212.149994,217.429993,217.429993,5628700
2022-02-09,221.139999,222.190002,215.570007,222.039993,222.039993,6107700
2022-02-10,217.699997,221.990005,215.809998,217.669998,217.669998,5312600
2022-02-11,217.619995,219.929993,206.110001,207.899994,207.899994,8165600
2022-02-14,205.800003,209.899994,204.630005,206.399994,206.399994,7005900
2022-02-15,209.750000,214.570007,208.520004,214.250000,214.250000,6353000
2022-02-16,211.000000,212.419998,208.210007,211.740005,211.740005,7072700
2022-02-17,208.330002,209.750000,199.500000,200.029999,200.029999,8820100
2022-02-18,200.399994,202.600006,195.789993,196.839996,196.839996,6691800
2022-02-22,195.529999,201.460007,193.529999,195.130005,195.130005,8434800
2022-02-23,196.350006,199.000000,190.130005,190.539993,190.539993,7784300
2022-02-24,184.740005,204.899994,184.440002,204.289993,204.289993,11792600
2022-02-25,204.720001,208.470001,201.610001,208.089996,208.089996,5853600
2022-02-28,207.789993,211.669998,206.949997,210.529999,210.529999,7904700
2022-03-01,213.399994,214.389999,208.460007,208.889999,208.889999,12587300
2022-03-02,216.100006,217.309998,201.149994,210.389999,210.389999,16670100
2022-03-03,210.389999,211.630005,204.220001,204.750000,204.750000,6559900
2022-03-04,204.699997,206.380005,199.259995,203.009995,203.009995,6813600
2022-03-07,203.449997,204.929993,196.039993,196.229996,196.229996,7043500
2022-03-08,194.279999,197.199997,189.199997,192.080002,192.080002,8229000
2022-03-09,198.350006,205.229996,197.220001,203.160004,203.160004,6881300
2022-03-10,199.100006,201.199997,197.529999,200.149994,200.149994,5604200
2022-03-11,204.770004,204.770004,197.630005,197.899994,197.899994,5196900
2022-03-14,198.240005,200.160004,191.820007,193.119995,193.119995,5665500
2022-03-15,198.529999,199.960007,192.740005,196.139999,196.139999,5276300
2022-03-16,198.660004,205.899994,197.330002,205.570007,205.570007,6043400
2022-03-17,204.619995,210.679993,202.559998,210.410004,210.410004,5842600
2022-03-18,209.229996,219.580002,208.309998,218.800003,218.800003,12220600
2022-03-21,218.190002,219.100006,210.610001,213.720001,213.720001,6448700
